단지고유번호,필지고유번호,주소,단지명_공시가격,단지명_건축물대장,단지명_도로명주소,단지종류,동수,세대수,사용승인일,정제된_주소,lat,lon
41271312168582,4127110200105400006,경기도 안산상록구 이동 540-6,(540-6),,,3,1,16,2003-06-14,경기도 안산상록구 이동 540-6,37.3109124,126.8610581
41271312168583,4127110200105400010,경기도 안산상록구 이동 540-10,(540-10),,,3,1,15,2002-10-16,경기도 안산상록구 이동 540-10,37.3113004,126.8614584
41271320154178,4127110200105410000,경기도 안산상록구 이동 541,미오빌(541-0),,,3,1,8,2012-05-07,경기도 안산상록구 이동 541,37.3107216,126.8608687
41271312168584,4127110200105410001,경기도 안산상록구 이동 541-1,청록하이츠5차,청록하이츠5차,청록하이츠5차,3,1,8,2003-01-23,경기도 안산상록구 이동 541-1,37.3106793,126.8610336
41271320401258,4127110200105410002,경기도 안산상록구 이동 541-2,모드니에그린빌,모드니에 그린빌,모드니에 그린빌,3,1,8,2020-03-23,경기도 안산상록구 이동 541-2,37.3106288,126.8611968
41271312168586,4127110200105410008,경기도 안산상록구 이동 541-8,베스트빌1,,,3,1,18,2001-05-24,경기도 안산상록구 이동 541-8,37.3105432,126.8609021
41271320154924,4127110200105420000,경기도 안산상록구 이동 542,대원아트빌,대원아트빌,대원아트빌,3,1,8,2012-05-17,경기도 안산상록구 이동 542,37.3112286,126.861972
41271320440909,4127110200105420001,경기도 안산상록구 이동 542-1,다우에비앙,다우에비앙,다우에비앙,3,1,8,2022-11-24,경기도 안산상록구 이동 542-1,37.3111435,126.8621257
41271312168587,4127110200105420004,경기도 안산상록구 이동 542-4,새한빌라,,,3,1,8,2002-01-08,경기도 안산상록구 이동 542-4,37.3108789,126.8618613
41271320295159,4127110200105420005,경기도 안산상록구 이동 542-5,해오름주택(542-5),,,3,1,11,2014-07-25,경기도 안산상록구 이동 542-5,37.3107902,126.8617701
41271320355028,4127110200105420007,경기도 안산상록구 이동 542-7,서진쉐르빌,,,3,1,6,2017-07-14,경기도 안산상록구 이동 542-7,37.3107808,126.8615125
41271320323274,4127110200105420008,경기도 안산상록구 이동 542-8,현진빌,현진빌,현진빌,3,1,12,2015-08-04,경기도 안산상록구 이동 542-8,37.3108916,126.8616254
41271320323867,4127110200105420009,경기도 안산상록구 이동 542-9,행운빌,행운빌,행운빌,3,1,12,2015-09-02,경기도 안산상록구 이동 542-9,37.311004,126.8617404
41271312168588,4127110200105430000,경기도 안산상록구 이동 543,무지개빌라,,,3,1,8,2001-12-08,경기도 안산상록구 이동 543,37.3111835,126.8626233
41271320428148,4127110200105430001,경기도 안산상록구 이동 543-1,디오벨리,,,3,1,8,2021-08-20,경기도 안산상록구 이동 543-1,37.3110708,126.86274
41271312168589,4127110200105430002,경기도 안산상록구 이동 543-2,공원하우스,,,3,1,18,2002-03-16,경기도 안산상록구 이동 543-2,37.3109595,126.862855
41271312168590,4127110200105430003,경기도 안산상록구 이동 543-3,(543-3),,,3,1,14,2004-06-12,경기도 안산상록구 이동 543-3,37.3108484,126.86297
41271312168591,4127110200105430004,경기도 안산상록구 이동 543-4,(543-4),,,3,1,19,2002-02-02,경기도 안산상록구 이동 543-4,37.3107372,126.8630851
41271312168592,4127110200105430005,경기도 안산상록구 이동 543-5,(543-5),,,3,1,14,2003-04-15,경기도 안산상록구 이동 543-5,37.310626,126.8632001
41271320335521,4127110200105430007,경기도 안산상록구 이동 543-7,파크빌,파크빌,파크빌,3,1,11,2016-05-02,경기도 안산상록구 이동 543-7,37.3104274,126.8631787
41271312168594,4127110200105430008,경기도 안산상록구 이동 543-8,(543-8),,,3,1,14,2004-06-07,경기도 안산상록구 이동 543-8,37.3105354,126.8630634
41271312168595,4127110200105430009,경기도 안산상록구 이동 543-9,다세대주택,,,3,1,14,2002-11-18,경기도 안산상록구 이동 543-9,37.3106466,126.8629484
41271312168596,4127110200105430011,경기도 안산상록구 이동 543-11,(543-11),,,3,1,18,2001-04-09,경기도 안산상록구 이동 543-11,37.3108691,126.8627184
